"id","sequence","active","description","invoice_label","type_tax_use","name","name@es","name@ca","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override"
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_p_iva21nd_sp_in","","True","VAT 21% not deductible (intra-community services)","","purchase","21% ND EU S","21% ND UE S","21% ND UE S","21% IVA no deducible (servicios intracomunitarios)","21% IVA no deduïble (serveis intracomunitaris)","21","percent","tax_group_iva_21","","","","","","","base","+mod303[10]","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","",""
"","","","","","","","","","","","","","","","","","","","","base","+mod303[14_purchase]","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","+mod303[15]","refund","account_common_477","-100","","",""
"account_tax_template_s_igf0","","True","Fluorinated gases tax. Exempt","","sale","IGF Exempt","IGF Exento","IGF Exempt","Impuesto sobre gases fluorados. Exento","Impost sobre gasos fluorats. Exempt","0","fixed","tax_group_gases_refrigerantes","","","","","","","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_p_igf0","","True","Fluorinated gases tax. Exempt","","purchase","IGF Exempt","IGF Exento","IGF Exempt","Impuesto sobre gases fluorados. Exento","Impost sobre gasos fluorats. Exempt","0","fixed","tax_group_gases_refrigerantes","","","","","","","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r134a_1","","True","Fluorinated gases tax. R134A gas. Fixed part","","sale","IGF R134A FP","IGF R134A PF","IGF R134A PF","Impuesto sobre gases fluorados. Gas R134A. Parte fija","Impost sobre gasos fluorats. Gas R134A. Part fixa","21.45","fixed","tax_group_gases_refrigerantes","","","","","","True","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r134a","","True","Fluorinated gases tax. R134A gas (includes VAT 21%)","","sale","IGF R134A","IGF R134A","IGF R134A","Impuesto sobre gases fluorados. Gas R134A (incluye IVA 21%)","Impost sobre gasos fluorats. Gas R134A (inclou IVA 21%)","0","group","tax_group_gases_refrigerantes","","","","","consu","","","","","","","","account_tax_template_s_igf21_r134a_1,account_tax_template_s_iva21b",""
"account_tax_template_s_igf21_r134a_regen_1","","True","Fluorinated gases tax. Regenerated R134A gas. Fixed part","","sale","IGF R134A REGEN FP","IGF R134A REGEN PF","IGF R134A REGEN PF","Impuesto sobre gases fluorados. Gas R134A regenerado. Parte fija","Impost sobre gasos fluorats. Gas R134A regenerat. Part fixa","10.73","fixed","tax_group_gases_refrigerantes","","","","","","True","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r134a_regen","","True","Fluorinated gases tax. Regenerated R134A gas (includes VAT 21%)","","sale","IGF R134A REGEN","IGF R134A REGEN","IGF R134A REGEN","Impuesto sobre gases fluorados. Gas R134A regenerado (incluye IVA 21%)","Impost sobre gasos fluorats. Gas R134A regenerat (inclou IVA 21%)","0","group","tax_group_gases_refrigerantes","","","","","consu","","","","","","","","account_tax_template_s_igf21_r134a_regen_1,account_tax_template_s_iva21b",""
"account_tax_template_s_igf21_r410a_1","","True","Fluorinated gases tax. R410A gas. Fixed part","","sale","IGF R410A FP","IGF R410A PF","IGF R410A PF","Impuesto sobre gases fluorados. Gas R410A. Parte fija","Impost sobre gasos fluorats. Gas R410A. Part fixa","31.31","fixed","tax_group_gases_refrigerantes","","","","","","True","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r410a","","True","Fluorinated gases tax. R410A gas (includes VAT 21%)","","sale","IGF R410A","IGF R410A","IGF R410A","Impuesto sobre gases fluorados. Gas R410A (incluye IVA 21%)","Impost sobre gasos fluorats. Gas R410A (inclou IVA 21%)","0","group","tax_group_gases_refrigerantes","","","","","consu","","","","","","","","account_tax_template_s_igf21_r410a_1,account_tax_template_s_iva21b",""
"account_tax_template_s_igf21_r438a_1","","True","Fluorinated gases tax. R438A gas. Fixed part","","sale","IGF R438A FP","IGF R438A PF","IGF R438A PF","Impuesto sobre gases fluorados. Gas R438A. Parte fija","Impost sobre gasos fluorats. Gas R438A. Part fixa","33.97","fixed","tax_group_gases_refrigerantes","","","","","","True","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r438a","","True","Fluorinated gases tax. R438A gas (includes VAT 21%)","","sale","IGF R438A","IGF R438A","IGF R438A","Impuesto sobre gases fluorados. Gas R438A (incluye IVA 21%)","Impost sobre gasos fluorats. Gas R438A (inclou IVA 21%)","0","group","tax_group_gases_refrigerantes","","","","","consu","","","","","","","","account_tax_template_s_igf21_r438a_1,account_tax_template_s_iva21b",""
"account_tax_template_s_igf21_r404a_1","","True","Fluorinated gases tax. R404A gas. Fixed part","","sale","IGF R404A FP","IGF R404A PF","IGF R404A PF","Impuesto sobre gases fluorados. Gas R404A. Parte fija","Impost sobre gasos fluorats. Gas R404A. Part fixa","29.41","fixed","tax_group_gases_refrigerantes","","","","","","True","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r404a","","True","Fluorinated gases tax. R404A gas (includes VAT 21%)","","sale","IGF R404A","IGF R404A","IGF R404A","Impuesto sobre gases fluorados. Gas R404A (incluye IVA 21%)","Impost sobre gasos fluorats. Gas R404A (inclou IVA 21%)","0","group","tax_group_gases_refrigerantes","","","","","consu","","","","","","","","account_tax_template_s_igf21_r404a_1,account_tax_template_s_iva21b",""
"account_tax_template_s_igf21_r422d_1","","True","Fluorinated gases tax. R422D gas. Fixed part","","sale","IGF R422D FP","IGF R422D PF","IGF R422D PF","Impuesto sobre gases fluorados. Gas R422D. Parte fija","Impost sobre gasos fluorats. Gas R422D. Part fixa","40.93","fixed","tax_group_gases_refrigerantes","","","","","","True","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r422d","","True","Fluorinated gases tax. R422D gas (includes VAT 21%)","","sale","IGF R422D","IGF R422D","IGF R422D","Impuesto sobre gases fluorados. Gas R422D (incluye IVA 21%)","Impost sobre gasos fluorats. Gas R422D (inclou IVA 21%)","0","group","tax_group_gases_refrigerantes","","","","","consu","","","","","","","","account_tax_template_s_igf21_r422d_1,account_tax_template_s_iva21b",""
"account_tax_template_s_igf21_r422a_1","","True","Fluorinated gases tax. R422A gas. Fixed part","","sale","IGF R422A FP","IGF R422A PF","IGF R422A PF","Impuesto sobre gases fluorados. Gas R422A. Parte fija","Impost sobre gasos fluorats. Gas R422A. Part fixa","47.14","fixed","tax_group_gases_refrigerantes","","","","","","True","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r422a","","True","Fluorinated gases tax. R422A gas (includes VAT 21%)","","sale","IGF R422A","IGF R422A","IGF R422A","Impuesto sobre gases fluorados. Gas R422A (incluye IVA 21%)","Impost sobre gasos fluorats. Gas R422A (inclou IVA 21%)","0","group","tax_group_gases_refrigerantes","","","","","consu","","","","","","","","account_tax_template_s_igf21_r422a_1,account_tax_template_s_iva21b",""
"account_tax_template_s_igf21_r449a_1","","True","Fluorinated gases tax. R449A gas. Fixed part","","sale","IGF R449A FP","IGF R449A PF","IGF R449A PF","Impuesto sobre gases fluorados. Gas R449A. Parte fija","Impost sobre gasos fluorats. Gas R449A. Part fixa","20.94","fixed","tax_group_gases_refrigerantes","","","","","","True","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r449a","","True","Fluorinated gases tax. R449A gas (includes VAT 21%)","","sale","IGF R449A","IGF R449A","IGF R449A","Impuesto sobre gases fluorados. Gas R449A (incluye IVA 21%)","Impost sobre gasos fluorats. Gas R449A (inclou IVA 21%)","0","group","tax_group_gases_refrigerantes","","","","","consu","","","","","","","","account_tax_template_s_igf21_r449a_1,account_tax_template_s_iva21b",""
"account_tax_template_s_igf21_r407c_1","","True","Fluorinated gases tax. R407C gas. Fixed part","","sale","IGF R407C FP","IGF R407C PF","IGF R407C PF","Impuesto sobre gases fluorados. Gas R407C. Parte fija","Impost sobre gasos fluorats. Gas R407C. Part fixa","26.61","fixed","tax_group_gases_refrigerantes","","","","","","True","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r407c","","True","Fluorinated gases tax. R407C gas (includes VAT 21%)","","sale","IGF R407C","IGF R407C","IGF R407C","Impuesto sobre gases fluorados. Gas R407C (incluye IVA 21%)","Impost sobre gasos fluorats. Gas R407C (inclou IVA 21%)","0","group","tax_group_gases_refrigerantes","","","","","consu","","","","","","","","account_tax_template_s_igf21_r407c_1,account_tax_template_s_iva21b",""
"account_tax_template_s_igf21_r452a_1","","True","Fluorinated gases tax. R452A gas. Fixed part","","sale","IGF R452A FP","IGF R452A PF","IGF R452A PF","Impuesto sobre gases fluorados. Gas R452A. Parte fija","Impost sobre gasos fluorats. Gas R452A. Part fixa","32.09","fixed","tax_group_gases_refrigerantes","","","","","","True","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r452a","","True","Fluorinated gases tax. R452A gas (includes VAT 21%)","","sale","IGF R452A","IGF R452A","IGF R452A","Impuesto sobre gases fluorados. Gas R452A (incluye IVA 21%)","Impost sobre gasos fluorats. Gas R452A (inclou IVA 21%)","0","group","tax_group_gases_refrigerantes","","","","","consu","","","","","","","","account_tax_template_s_igf21_r452a_1,account_tax_template_s_iva21b",""
"account_tax_template_s_igf21_r32_1","","True","Fluorinated gases tax. R32 gas. Fixed part","","sale","IGF R32 FP","IGF R32 PF","IGF R32 PF","Impuesto sobre gases fluorados. Gas R32. Parte fija","Impost sobre gasos fluorats. Gas R32. Part fixa","10.13","fixed","tax_group_gases_refrigerantes","","","","","","True","base","","invoice","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_igf","","","",""
"","","","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","","","tax","","refund","account_common_igf","","","",""
"account_tax_template_s_igf21_r32","","True","Fluorinated gases tax. R32 gas (includes VAT 21%)","","sale","IGF R32","IGF R32","IGF R32","Impuesto sobre gases fluorados. Gas R32 (incluye IVA 21%)","Impost sobre gasos fluorats. Gas R32 (inclou IVA 21%)","0","group","tax_group_gases_refrigerantes","","","","","consu","","","","","","","","account_tax_template_s_igf21_r32_1,account_tax_template_s_iva21b",""
"account_tax_template_p_iva5_nd","","","VAT 5% not deductible (services)","","","5% ND S","5% ND S","5% ND S","5% IVA no deducible (servicios corrientes)","5% IVA no deduïble (serveis corrents)","","","","","","","","","","","","","","","","",""
